0_Niro_CALC Average Battery Module Temperature, Batt AvgT,2101,(val{0_Niro_Battery Module 1 Temperature}+val{0_Niro_Battery Module 2 Temperature}+val{0_Niro_Battery Module 3 Temperature}+val{0_Niro_Battery Module 4 Temperature}+val{0_Niro_Battery Module 5 Temperature})/5.0,-40,80,C,7E4
0_Niro_CALC Average Cell Voltage,Avg Cell V,2101,val{0_Niro_Battery DC Voltage}/64,2.5,4.2,V,7E4
0_Niro_Auxillary Battery Voltage,Aux Batt Volts,2101,ad*0.1,11,14.6,V,7E4
0_Niro_Available Charge Power,Max REGEN,2101,((f<8)+g)/100,0,98,kW,7E4
0_Niro_Available Discharge Power,Max POWER,2101,((h<8)+i)/100,0,98,kW,7E4
0_Niro_Battery Cell Voltage Deviation,V Diff,2105,u/50,0,0.5,V,7E4
0_Niro_Battery Current,Batt Current,2101,((Signed(K)*256)+L)/10,-250,250,A,7E4
0_Niro_Battery DC Voltage,Batt Volts,2101,((m<8)+n)/10,204,275.2,V,7E4
0_Niro_Battery Fan Feedback,Batt Fan SPD,2101,ac,0,120,Hz,7E4
0_Niro_Battery Fan Status,Batt Fan MOD,2101,ab,0,9,,7E4
0_Niro_Battery Inlet Temperature,Batt InletT,2101,Signed(W),-40,80,C,7E4
0_Niro_Battery Max Temperature,Batt MaxT,2101,Signed(O),-40,80,C,7E4
0_Niro_Battery Min Temperature,Batt MinT,2101,Signed(P),-40,80,C,7E4
0_Niro_Battery Module 1 Temperature,Batt Temp1,2101,Signed(Q),-40,80,C,7E4
0_Niro_Battery Module 2 Temperature,Batt Temp2,2101,Signed(R),-40,80,C,7E4
0_Niro_Battery Module 3 Temperature,Batt Temp3,2101,Signed(S),-40,80,C,7E4
0_Niro_Battery Module 4 Temperature,Batt Temp4,2101,Signed(T),-40,80,C,7E4
0_Niro_Battery Module 5 Temperature,Batt Temp5,2101,Signed(U),-40,80,C,7E4
0_Niro_Battery Power,Energy Draw,2101,val{0_Niro_Battery Current}*val{0_Niro_Battery DC Voltage}/1000,-90,90,kW,7E4
0_Niro_BMS Ignition,BMS Ignit.,2101,{ay:2},0,1,,7E4
0_Niro_BMS Main Relay,BMS Relay,2101,{j:0},0,1,,7E4
0_Niro_Cumulative Charge Current,CCC,2101,((ae<24)+(af<16)+(ag<8)+ah)/10,0,1000000,Ah,7E4
0_Niro_Cumulative Discharge Current,CDC,2101,((ai<24)+(aj<16)+(ak<8)+al)/10,0,1000000,Ah,7E4
0_Niro_Cumulative Energy Charged,CEC,2101,((am<24)+(an<16)+(ao<8)+ap)/10,0,1000000,kWh,7E4
0_Niro_Cumulative Energy Discharged,CED,2101,((aq<24)+(ar<16)+(as<8)+at)/10,0,1000000,kWh,7E4
0_Niro_Drive Motor Speed 1, EV-RPM,2101,(Signed(BB)*256)+BC,0,12100,rpm,7E4
0_Niro_RPM HSG?,HSG RPM,2101,(Signed(BD)*256))+BE,0,12000,rpm,7E4
