000_Auxillary Battery Voltage,Aux Batt Volts,2101,ad*0.1,11,14.6,V,7E4
000_Available Charge Power,CCL,2101,((f<8)+g)/100,0,98,kW,7E4
000_Available Discharge Power,DCL,2101,((h<8)+i)/100,0,98,kW,7E4
000_Battery Current,Batt Current,2101,((Signed(K)*256)+L)/10,-230,230,A,7E4
000_Battery DC Voltage,Batt Volts,2101,((m<8)+n)/10,268.8,403.2,V,7E4
000_Battery Inlet Temperature,Batt InletT,2101,Signed(W),-40,80,C,7E4
000_Battery Max Temperature,Batt MaxT,2101,Signed(O),-40,80,C,7E4
000_Battery Min Temperature,Batt MinT,2101,Signed(P),-40,80,C,7E4
000_Battery Module 5 Temperature,Batt Temp5,2101,Signed(U),-40,80,C,7E4
000_Battery Module 6 Temperature,Batt Temp6,2105,Signed(J),-40,80,C,7E4
000_Battery Module 7 Temperature,Batt Temp7,2105,Signed(K),-40,80,C,7E4
000_Battery Module 8 Temperature,Batt Temp8,2105,Signed(L),-40,80,C,7E4
000_Battery Module 09 Temperature,Batt Temp09,2105,Signed(M),-40,80,C,7E4
000_Battery Module 10 Temperature,Batt Temp10,2105,Signed(N),-40,80,C,7E4
000_Battery Module 11 Temperature,Batt Temp11,2105,Signed(O),-40,80,C,7E4
000_Battery Module 12 Temperature,Batt Temp12,2105,Signed(P),-40,80,C,7E4
000_Battery Power,Energy Draw,2101,val{000_Battery Current}*val{000_Battery DC Voltage}/1000,-90,90,kW,7E4
000_Cumulative Charge Current,CCC,2101,((ae<24)+(af<16)+(ag<8)+ah)/10,0,1000000,Ah,7E4
000_Cumulative Discharge Current,CDC,2101,((ai<24)+(aj<16)+(ak<8)+al)/10,0,1000000,Ah,7E4
000_Cumulative Energy Charged,CEC,2101,((am<24)+(an<16)+(ao<8)+ap)/10,0,1000000,kWh,7E4
000_Cumulative Energy Discharged,CED,2101,((aq<24)+(ar<16)+(as<8)+at)/10,0,1000000,kWh,7E4
000_Maximum Cell Voltage,Max Cell Volts,2101,x/50,2.8,4.2,V,7E4
000_Maximum Cell Voltage No.,Max Cell V No.,2101,y,0,96,,7E4
000_Operating Time,OpTime,2101,((au<24)+(av<16)+(aw<8)+ax)/3600,0,1000000,hours,7E4
000_State of Charge BMS,SOC BMS,2101,e/2,0,100,%,7E4

