004_CALC Average Battery Module Temperature,Batt AvgT,2101,(val{000_Battery Module 1 Temperature}+val{000_Battery Module 2 Temperature}+val{000_Battery Module 3 Temperature}+val{000_Battery Module 4 Temperature}+val{000_Battery Module 5 Temperature}+val{000_Battery Module 6 Temperature}+val{000_Battery Module 7 Temperature}+val{000_Battery Module 8 Temperature})/8.0,-40.0,80.0,C,7E4
004_CALC Average Cell Voltage,Avg Cell V,2101,val{000_Battery DC Voltage}/96,2.800,4.200,V,7E4
004_CALC AVRDET,Average DET,2101,(val{000_Maximum Deterioration}+val{000_Minimum Deterioration})/2,0.0,100.0,%,7E2
004_CALC Normal Port Charging,AC Charging,2101,val{000_HV_Charging}*val{000_Normal Charge Port},0,1,,7E2
004_CALC Rapid Port Charging,DCQC Charging,2101,val{000_HV_Charging}*val{000_Rapid Charge Port},0,1,,7E2
004_CALC Rapid Port Current,DCQC Current,2101,ABS(val{000_Battery Current})*val{004_CALC Rapid Port Charging},0,230,A,7E4
004_CALC Rapid Port Voltage,DCQC Volts,2101,ABS(val{000_Battery DC Voltage})*val{004_CALC Rapid Port Charging},268.8,403.2,V,7E4
004_CALC Rapid Port Power,DCQC Power,2101,val{004_CALC Rapid Port Current}*val{004_CALC Rapid Port Voltage}/1000,0,90,kW,7E4
004_CALC SOH,SOH,2101,110-val{000_Maximum Deterioration},0.0,110.0,%,7E2
004_CALC SOH2,SOH2,2101,110-val{004_CALC AVRDET},0.0,110.0,%,7E2

