, BMS data for Kia Soul EV using Torque Pro
, The 96 individual cell voltages are in a separate file
, To see temperatures in Fahrenheit change the unit settings in Torque
Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
000_Minimum Deterioration,Min Det,2105,((ac<8)+ad)/10,0,100,%,7E4
000_Maximum Deterioration,Max Det,2105,((z<8)+aa)/10,0,100,%,7E4
000_Minimum Deterioration Cell No.,Min Det Cell No.,2105,ae,0,96,,7E4
000_Maximum Deterioration Cell No.,Max Det Cell No.,2105,ab,0,96,,7E4
000_Cumulative Energy Charged,CEC,2101,((am<24)+(an<16)+(ao<8)+ap)/10,0,1000000,kWh,7E4
000_Cumulative Energy Discharged,CED,2101,((aq<24)+(ar<16)+(as<8)+at)/10,0,1000000,kWh,7E4
000_Operating Time,OpTime,2101,((au<24)+(av<16)+(aw<8)+ax)/3600,0,1000000,hours,7E4
000_Battery Max Temperature,Batt MaxT,2101,Signed(O),-40,120,C,7E4
000_Battery Min Temperature,Batt MinT,2101,Signed(P),-40,120,C,7E4
000_Battery Module 1 Temperature,Batt Temp1,2101,Signed(Q),-40,120,C,7E4
000_Battery Module 2 Temperature,Batt Temp2,2101,Signed(R),-40,120,C,7E4
000_Battery Module 3 Temperature,Batt Temp3,2101,Signed(S),-40,120,C,7E4
000_Battery Module 4 Temperature,Batt Temp4,2101,Signed(T),-40,120,C,7E4
000_Battery Module 5 Temperature,Batt Temp5,2101,Signed(U),-40,120,C,7E4
000_Battery Inlet Temperature,Batt InletT,2101,Signed(W),-40,120,C,7E4
000_Battery Module 6 Temperature,Batt Temp6,2105,Signed(J),-40,120,C,7E4
000_Battery Module 7 Temperature,Batt Temp7,2105,Signed(K),-40,120,C,7E4
000_Battery Module 8 Temperature,Batt Temp8,2105,Signed(L),-40,120,C,7E4
000_State of Charge Display,SOC Display,2105,af/2,0,100,%,7E4
000_State of Charge BMS,SOC BMS,2101,e/2,0,100,%,7E4
000_Maximum Cell Voltage,Max Cell Volts,2101,x/50,0,2,V,7E4
000_Minimum Cell Voltage,Min Cell Volts,2101,z/50,0,2,V,7E4
000_Maximum Cell Voltage No.,Max Cell V  No.,2101,y,0,96,,7E4
000_Minimum Cell Voltage No.,Min Cell V  No.,2101,aa,0,96,,7E4
000_Battery DC Voltage,Batt Volts,2101,((m<8)+n)/10,0,100,V,7E4
000_Battery Current,Batt Current,2101,((Signed(K)*256)+L)/10,-100,100,A,7E4
000_Auxillary Battery Voltage,Aux Batt Volts,2101,ad*0.1,0,100,V,7E4
000_Cumulative Charge Current,CCC,2101,((ae<24)+(af<16)+(ag<8)+ah)/10,0,1000000,Ah,7E4
000_Cumulative Discharge Current,CDC,2101,((ai<24)+(aj<16)+(ak<8)+al)/10,0,1000000,Ah,7E4
000_Available Charge Power,CCL,2101,((f<8)+g)/100,0,100,kW,7E4
000_Available Discharge Power,DCL,2101,((h<8)+i)/100,0,100,kW,7E4
000_Battery Heater 1 Temperature,Heater Temp1,2105,Signed(X),0,120,C,7E4
000_Battery Heater 2 Temperature,Heater Temp2,2105,Signed(Y),0,120,C,7E4
000_Battery Power,Energy Draw,2101,val{000_Battery Current}*val{000_Battery DC Voltage}/1000,-60,60,kW,7E4
