003_VMCU Accel Pedal Depth,Pedal,2101,j/2,0,100,%,7E2
003_VMCU Accel Pedal Related,Pedal related,2101,i,0,255,,7E2
003_VMCU B,B,2100,{h:4},0,1,,7E2
003_VMCU Brake lamp,Brake lamp,2100,{j:0},0,1,,7E2
003_VMCU Brake related,Brake related,2100,j,0,255,,7E2
003_VMCU Brake sw,Brake sw,2100,{j:1},0,1,,7E2
003_VMCU CH tmr Inh,CH,2100,{h:6},0,1,,7E2
003_VMCU Climate 1,Climate 1,2102,g,0,190,,7E2
003_VMCU Climate 2,Climate 2,2102,h,0,190,,7E2
003_VMCU D,D,2100,{h:3},0,1,,7E2
003_VMCU Eco,Eco,2100,{h:5},0,1,,7E2
003_VMCU Estimated Motor Torque,Est. Torque,2102,(Signed(N)*256)+M,-3000,3000,Nm,7E2
003_VMCU Heat Sink Temperature,Heat sink,2102,y-40,-40,80,C,7E2
003_VMCU Ignition,Ignition,2100,{n:4},0,1,,7E2
003_VMCU Instant Driving Efficiency,Energy Consumption,2101,val{000_Battery Power}*val{003_VMCU Real Vehicle speed}/100,0,120,kWh/100km,7E2
003_VMCU Instant Driving Efficiency2,Energy Economy,2101,val{003_VMCU Real Vehicle Speed}/val{000_Battery Power},0,16,km/kWh,7E2
003_VMCU MCU Temperature,MCU temp,2102,x-40,-40,80,C,7E2
003_VMCU Motor Actual Speed RPM,Speed rpm,2102,(Signed(J)*256)+I,-5000,5000,rpm,7E2
003_VMCU Motor Phase Current RMS,Phase Current RMS,2102,((v<8)+u),0,5000,rms,7E2
003_VMCU Motor Resolver Offset,Resolver Offset,2102,((ad<8)+ac),0,1000,,7E2
003_VMCU Motor Temperature,Motor temp,2102,w-40,-40,125,C,7E2
003_VMCU Motor Torque Command Nm,Torque Command,2102,(Signed(L)*256)+K,-3000,3000,Nm,7E2
003_VMCU Motor U Phase Current Sensor Offset,U Phase,2102,((z<8)+y),0,1000,,7E2
003_VMCU Motor V Phase Current Sensor Offset,V Phase,2102,((ab<8)+aa),0,1000,,7E2
003_VMCU N,N,2100,{h:2},0,1,,7E2
003_VMCU P,P,2100,{h:0},0,1,,7E2
003_VMCU R,R,2100,{h:1},0,1,,7E2
003_VMCU Radiator Fan,Radiator Fan,2100,{n:3},0,1,,7E2
003_VMCU Real Vehicle Speed,Real Speed,2101,k,0,180,km/h,7E2
003_VMCU EWP Status,EWP,2100,{n:2},0,1,,7E2
003_VMCU Aux Battery Voltage,VMCU 12V Batt,2102,e/10,0,25,V,7E2
003_VMCU Inverter Input Voltage,Inverter,2102,e*2,0,360,V,7E2
